BurnTime(s),Thrust(N),Density(kg/m^3),Speed of sound(m/s)
0.124,816.849,1.225,340.294
0.375,796.043,1.21328,339.91
0.626,781.861,1.20165,339.526
0.877,767.44,1.19011,339.141
1.129,759.627,1.17864,338.755
1.38,735.948,1.16727,338.37
1.631,714.454,1.15598,337.983
1.883,701.582,1.14477,337.597
2.134,674.667,1.13364,337.21
2.385,656.493,1.1226,336.822
2.637,636.076,1.11164,336.434
2.889,612.409,1.10077,336.046
3.14,587.801,1.08997,335.657
3.391,567.17,1.07925,335.267
3.642,559.971,1.06862,334.878
3.894,534.157,1.05807,334.487
4.145,444.562,1.04759,334.097
4.396,280.51,1.0372,333.705
4.648,216.702,1.02688,333.314
4.899,163.136,1.01665,332.922
5.15,120.571,1.00649,332.529
5.402,86.544,0.99641,332.136
5.653,59.99,0.986407,331.743
5.904,39.527,0.976481,331.349
6.156,25.914,0.966632,330.954
6.408,0,0.956859,330.56
,,0.947162,330.164
,,0.93754,329.768
,,0.927993,329.372
,,0.91852,328.975
,,0.909122,328.578
,,0.899798,328.18
,,0.890546,327.782
,,0.881368,327.383
,,0.872262,326.984
,,0.863229,326.584
,,0.854267,326.184
,,0.845377,325.784
,,0.836557,325.382
,,0.827808,324.981
,,0.819129,324.579
,,0.81052,324.176
,,0.801981,323.773
,,0.79351,323.369
,,0.785108,322.965
,,0.776775,322.56
,,0.768509,322.155
,,0.76031,321.75
,,0.752179,321.343
,,0.744114,320.937
,,0.736116,320.529
,,0.728183,320.122
,,0.720317,319.713
,,0.712515,319.305
,,0.704778,318.895
,,0.697106,318.486
,,0.689497,318.075
,,0.681953,317.664
,,0.674471,317.253
,,0.667053,316.841
,,0.659697,316.428
,,0.652404,316.015
,,0.645172,315.602
,,0.638002,315.188
,,0.630892,314.773
,,0.623844,314.358
,,0.616856,313.942
,,0.609928,313.526
,,0.60306,313.109
,,0.596251,312.692
,,0.589501,312.274
,,0.58281,311.855
,,0.576177,311.436
,,0.569602,311.016
,,0.563084,310.596
,,0.556624,310.175
,,0.55022,309.754
,,0.543873,309.332
,,0.537582,308.909
,,0.531347,308.486
,,0.525168,308.063
