Mach,Alpha,CD,CD power off,Cd power on,CA power off,CaA power on,CL,CN,CN Potential,CN Viscous,CNalpha(0 to 4 deg/ rad),CP,CP(0 to 4 deg),Reynolds Number 
0.01,0,0.769,0.769,0.749,0.769,0.749,0,0,0,0,9.186,165.559,165.559,"1,278,129"
0.02,0,0.792,0.792,0.773,0.792,0.773,0,0,0,0,9.186,165.559,165.559,"2,556,258"
0.03,0,0.788,0.788,0.768,0.788,0.768,0,0,0,0,9.186,165.559,165.559,"3,834,388"
0.04,0,0.78,0.78,0.76,0.78,0.76,0,0,0,0,9.186,165.559,165.559,"5,112,517"
0.05,0,0.772,0.772,0.752,0.772,0.752,0,0,0,0,9.186,165.559,165.559,"6,390,646"
0.06,0,0.765,0.765,0.745,0.765,0.745,0,0,0,0,9.186,165.559,165.559,"7,668,776"
0.07,0,0.759,0.759,0.739,0.759,0.739,0,0,0,0,9.186,165.559,165.559,"8,946,905"
0.08,0,0.753,0.753,0.733,0.753,0.733,0,0,0,0,9.186,165.559,165.559,"10,225,030"
0.09,0,0.748,0.748,0.728,0.748,0.728,0,0,0,0,9.186,165.559,165.559,"11,503,160"
0.1,0,0.744,0.744,0.724,0.744,0.724,0,0,0,0,9.186,165.559,165.559,"12,781,290"
0.11,0,0.744,0.744,0.724,0.744,0.724,0,0,0,0,9.186,165.559,165.559,"14,059,420"
0.12,0,0.744,0.744,0.724,0.744,0.724,0,0,0,0,9.186,165.559,165.559,"15,337,550"
0.13,0,0.744,0.744,0.724,0.744,0.724,0,0,0,0,9.186,165.559,165.559,"16,615,680"
0.14,0,0.744,0.744,0.724,0.744,0.724,0,0,0,0,9.186,165.559,165.559,"17,893,810"
0.15,0,0.744,0.744,0.724,0.744,0.724,0,0,0,0,9.186,165.559,165.559,"19,171,940"
0.16,0,0.744,0.744,0.724,0.744,0.724,0,0,0,0,9.186,165.559,165.559,"20,450,070"
0.17,0,0.744,0.744,0.724,0.744,0.724,0,0,0,0,9.186,165.559,165.559,"21,728,200"
0.18,0,0.744,0.744,0.724,0.744,0.724,0,0,0,0,9.186,165.559,165.559,"23,006,330"
0.19,0,0.744,0.744,0.724,0.744,0.724,0,0,0,0,9.186,165.559,165.559,"24,284,460"
0.2,0,0.744,0.744,0.725,0.744,0.725,0,0,0,0,9.186,165.559,165.559,"25,562,590"
0.21,0,0.744,0.744,0.725,0.744,0.725,0,0,0,0,9.186,165.559,165.559,"26,840,710"
0.22,0,0.744,0.744,0.725,0.744,0.725,0,0,0,0,9.186,165.559,165.559,"28,118,840"
0.23,0,0.745,0.745,0.725,0.745,0.725,0,0,0,0,9.186,165.559,165.559,"29,396,970"
0.24,0,0.745,0.745,0.725,0.745,0.725,0,0,0,0,9.186,165.559,165.559,"30,675,100"
0.25,0,0.745,0.745,0.725,0.745,0.725,0,0,0,0,9.186,165.559,165.559,"31,953,230"
0.26,0,0.745,0.745,0.726,0.745,0.726,0,0,0,0,9.186,165.559,165.559,"33,231,360"
0.27,0,0.746,0.746,0.726,0.746,0.726,0,0,0,0,9.186,165.559,165.559,"34,509,490"
